Generic,Brand,Drug Class,Formulation,Side Effects (Common),Side Effects (Rare but Serious),Contraindications/Black Box Warnings
Moxifloxacin,Avelox,Fluoroquinolone Antibiotic,tablet,None,"Stevens-Johnson syndrome, renal failure, severe hypersensitivity, anemia, neutropenia, thrombocytopenia, seizure, cardiac arrhythmias, liver failure, tendon rupture, psychosis, exacerbation of myasthenia gravis, peripheral neuropathy, CNS effects, severe cardiac, dermatologic and hypersensitivity reactions","BW: Myasthenia gravis, tendon inflammation and rupture peripheral neuropathy, aortic dissections, hypoglycemia, delirium"
Moxifloxacin Ophthalmic,"Vigamox, Moxeza","Fluoroquinolone, Ophthalmic",ophthalmic solution,None,Fungal or bacterial ocular superinfection,None
Mupirocin,Bactroban,"Antibacterial, Topical","topical ointment, topical cream, nasal ointment","Headache, pruritus, burning at site of application, stinging sensation, rhinitis",C. Diff diarrhea,none
Nabumetone,Relafen,NSAID,tablet,"Elevated LFT's, dyspepsia, abdominal pain, diarrhea","SJS, GI bleeding, thrombosis, acute renal failure, congestive heart failure, aplastic anemia","CI: Hypersensitivity to nabumetone, other NSAIDs, aspirin or sulfonamides; concurrent ketorolac, pentoxifylline use; asthma, CABG surgery BW: Thrombotic events, GI bleeding"
Naproxen,Naprosyn,NSAID,"tablet, tablet DR, tablet ER, capsule, suspension","Stevens-Johnson syndrome, GI bleeding, thrombosis, elevated LFTs, acute renal failure, congestive heart failure, aplastic anemia",None,"CI: Hypersensitivity to naproxen, other NSAIDs, aspirin or sulfonamides; asthma or allergic-type reaction following aspirin or other NSAID administration, CABG surgery, treatment of perioperative pain BW: Cardiovascular & GI risk, thrombotic events"
Nebivolol,Bystolic,"Beta Adrenergic Blocker, B1 Selective",tablet,None,"Heart block, withdrawal symptoms (angina, MI, Ventricular arrhythmias","CI: severe bradycardia, 2nd- or 3rd-degree AV block, sick sinus syndrome; decompensated heart failure, cardiogenic shock; severe hepatic impairment"
Niacin,"Niaspan, Slo-niacin",Antihyperlipidemic,"capsule, tablet ER, tablet","Flushing, headache","Hypophosphatemia, hepatotoxicity, rhabdomyolysis","CI: Active liver disease, PUD, arterial hemorrhage"
Nifedipine,"Adalat CC, Procardia XL",Dihydropyridine Calcium Channel Blocker,"tablet ER, capsule","Flushing, headache, dizziness, weakness, nausea, dyspepsia","Aplastic anemia, thrombocytopenia, angina, AMI","CI: cardiogenic shock, STEMI, concomitant use of CYP3A4/5 inducers"
Nitazoxanide,Alinia,Antiprotozoal,"tablet, suspension.",None,Elevated LFT's,None
Nitrofurantoin,"Macrodantin, Macrobid",Nitrofuran Antibiotic,"capsule, suspension",Discoloration of urine,"hepatic failure, hemolytic anemia, interstitial lung disease","CI: use in neonates or pregnant patients at term (38-42 week) due to risk of hemolytic anemia, anuria or oliguria"
Nitroglycerin,"Minitran, Nitro-Dur, Nitrostat","Antianginal, Nitrate","capsule ER, Sublingual tablet, sublingual packet, sublingual solution, Transublingualingual aeresolution solution, transdermal patch, transdermal ointment, Rectal ointment.",Headache,"Increased intracranial pressure, severe hypotension, syncope, methemoglobinemia","CI: concurrent use with PDEIs, symptomatic hypotension, marked bradycardia or tachycardia, severe anemia or increased intracranial pressure"
Nortriptyline,Pamelor,Tricyclic Antidepressant,"capsule, solution",Constipation,"Cardiac dysrhythmia, heart block, hepatotoxicity, seizures, suicidal thoughts","CI: MAOI concurrent use or use within 14 d; use during acute recovery period after MI, patient using linezolid or IV methylene blue BW: Suicidality"
Nystatin systemic,Bio-Statin,Polyene AF,"suspension, tablet, capsule",None,Rash,None
Nystatin Topical,"Mycostatin, Nyamyc, Nystop",Polyene AF,"topical cream, ointment, powder",None,"Rash, Hypersensitivity syndrome, SJS",None
Olanzapine,Zyprexa,"Thienobenzodiazepine, Atypical Antipsychotic","tablet, ODT","Akathisia, asthenia, dizziness, hypercholesterolemia, hyperglycemia, increased appetite, increased prolactin levels, increased triglycerides, somnolence, tremor, weight gain, xerostomia, orthostatic hypotension, increased LFTs","Neuroleptic malignant syndrome, pancreatitis, sudden cardiac death, suicidal thoughts, tardive dyskinesia, DRESS, slowed or difficult breathing when used in combination with opioids",BW: Mortality in elderly patients with dementia-related psychosis; DRESS
Olmesartan,Benicar,Angiotensin 2 Receptor Antagonist,tablet,"Back pain, dizziness, headache, hyperkalemia, hypotension","Angioedema, Birth defects, Hepatotoxicity, Rhabdomyolysis, Acute renal failure","CI: pregnancy, concurrent use with aliskiren in patients with DM BW: Pregnancy"
Olopatadine,"Patanol, Pataday","Antihistamine, Ophthalmic",solution,None,Hypersensitivity,None
Omega-3-Acid Ethyl Esters,Lovaza,"Antihyperlipidemic, Omega-3 Fatty Acids","capsule liquid filled, capsule DR, tablet chew",Diarrhea,"Anaphylaxis, elevated LFT's","CI: Hypersensitivity to omega-3-ethyl acid esters, shellfish, or fish"
Omeprazole,Prilosec,Proton Pump Inhibitor,"capsule DR, tablet DR, oral packet","Abdominal pain, diarrhea, headache","Toxic epidermal necrolysis, C. difficile diarrhea, pancreatitis, hepatotoxicity, hip fracture, rhabdomyolysis, acute interstitial nephritis",CI: hypersensitivity to omeprazole or esomeprazole
Ondansetron,Zofran,Antiemetic,"tablet, ODT, solution","Constipation, diarrhea, headache","Arrhythmias, anaphylaxis, serotonin syndrome","CI: Hypersensitivity to ondansetron, concomitant apomorphine or drugs that increase QTc interval"
Oseltamivir,Tamiflu,"Neuraminidase Inhibitor, Antiviral","capsule, suspension","N/V, headache","Arrhythmias, anaphylaxis, SJS, seizures, delirium",None
Oxcarbazepine,Trileptal,"Dibenzazepine Carboxamide, Anticonvulsant","tablet, tablet ER, suspension","Somnolence, dizziness, headache, diplopia","Anaphylaxis, angioedema, SJS, suicidal thoughts, pancytopenia",None
Oxybutynin,Ditropan,Urinary Antispasmodic,"tablet, tablet ER, Syrup, transdermal Gel, transdermal patch twice weekly","Constipation, xerostomia, blurred vision","Prolonged QTC, seizures, tachycardia","CI: hypersensitivity to oxybutynin, gastric retention, glaucoma, urinary retention"
Oxycodone,Oxycontin,Opioid Analgesic C2,"capsule, tablet IR, tablet ER 12 hr abuse deterrent, capsule 12 hr abuse deterrent, solution, concentrate","Constipation, GI distress, sedation, sweating, pruritus","Cardiac arrest, respiratory depression, physical dependence, tolerance, severe hypersensitivity, serotonin syndrome, adrenal insufficiency, decreased sex hormones","CI: asthma, paralytic ileus, respiratory depression, hypercarbia BW: Addiction, abuse potential; REMS, respiratory depression, accidental ingestion, neonatal withdrawal, CYP3A4/5 interaction, concurrent use with benzodiazepines, medication errors with oral solution"
Pantoprazole,Protonix,Proton Pump Inhibitor,"tablet, packet","Abdominal pain, diarrhea, flatulence, headache","Toxic epidermal necrolysis, SJS, thrombocytopenia, hip fracture, rhabdomyolysis, acute interstitial nephritis, cutaneous or systemic lupus erythematosus",None
Paroxetine,"Paxil, Paxil CR",SSRI Antidepressant,"tablet, tablet ER 24 hr, suspension, capsule","Abnormal ejaculation, asthenia, diarrhea, constipation, headache, nausea, insomnia, somnolence","Serotonin syndrome, suicidal thoughts","CI: Concomitant use of thioridazine or MAOIs, pregnancy BW: Suicidality"
Penicillin,Various,Antibiotic,"tablet, solution","Diarrhea, N/V","Severe hypersensitivity, renal failure, hepatic failure, hemolytic anemia",None
Pentosan,Elmiron,Urinary Analgesic,capsule,Nausea,"proctitis, rectal hemorrhage, thrombocytopenia",None
"Pertussis, Tetanus Toxoid, Diphtheria Toxoid","Daptacel, Adacel, Boostrix, Infanrix","Vaccine, Inactivated, Bacterial",suspension for IM injection,"Injection site reactions, including erythema, swelling and soreness, fever, headache, fatigue, swelling of limb","Anaphylaxis, swelling or severe arm pain, Guillain-Barré syndrome",CI: Hypersensitivity to pertussis vaccine or a component of the vaccine; progressive neurologic disorders (until stable); encephalopathy without known cause within 7 d of a pertussis containing vaccine
Phenazopyridine,Pyridium,Urinary Analgesic,tablet,GI upset,"Anaphylaxis, Methemoglobinemia, hemolytic anemia, hepatotoxicity, nephrotoxicity",CI: Renal failure
Phenobarbital,Luminal,Long Acting Barbiturate,"tablet, elixir, solution","Apnea, ataxia, confusion, dizziness, hypotension, hypoventilation, rash, somnolence, syncope","Barbiturate withdrawal, bradyarrhythmia, megaloblastic anemia, respiratory depression, SJS",CI: marked liver function impairment; respiratory disease with evidence of dyspnea or obstruction; history of sedative or hypnotic addiction; personal or family history of acute
Phentermine,"Adipex-P, Lomaira",Centrally Acting Appetite Suppressant,"capsule, tablet","Increased BP, palpitations, tachyarrhythmia, urticaria, constipation, diarrhea, xerostomia, dizziness, excitement, headache, insomnia, tremor, dysphoric mood, euphoria, restlessness","Heart valve disorder, psychotic disorder, primary pulmonary hypertension","CI: Hypersensitivity to phentermine or other sympathomimetic amines, use in agitated states, cardiovascular disease, history of drug abuse, glaucoma, moderate to severe hypertension, hyperthyroidism"
Phenytoin,Dilantin,"Anticonvulsant, Hydantoin","capsule, chewable tablet, suspension",Gingival hyperplasia,"Hepatotoxicity, pancytopenia, systemic lupus erythematosus, SJS, suicidal behavior, withdrawal seizures","CI: Sinus bradycardia, AV block BW: Hypotension and Arrhythmias with IV administration"
Pioglitazone,Actos,Thiazolidinedione Antidiabetic,tablet,"Edema, weight gain","Heart failure, anemia, hepatotoxicity, diabetic macular edema, hypoglycemia when used in combination with insulin or sulfonylureas, bladder cancer",CI: NYHA III/IV heart failure BW: Heart failure risk
Pneumococcal Vaccine,"Prevnar 13, Pneumovax 23","Vaccine, Inactivated, Bacterial","suspension for IM injection, solution for SQ injection","Injection site reactions (erythema, swelling, and soreness), rash, decreased appetite, arthralgia, myalgia, decreased sleep, somnolence, headache, asthenia, chills, fever","Thrombocytopenia, Anaphylaxis",CI: Hypersensitivity to vaccine or components of vaccine
Poliovirus Vaccine,Ipol,"Vaccine, Inactivated, Viral",suspension for injection,"Injection site reactions (erythema, swelling and soreness), loss of appetite, fatigue, irritability","Anaphylaxis, febrile seizure, Guillain-Barré syndrome","CI: Hypersensitivity to Hib vaccine or a component of the vaccine (some formulations may contain 2-phenoxyethanol, calf serum, formaldehyde, neomycin, polymyxin, streptomycin); acute, febrile illness"
Polyethylene Glycol,Golytely,Hyperosmotic Laxative,powder for oral solution,"Anal irritation, bloating symptom, epigastric fullness, nausea, stomach cramps, vomiting","Anaphylaxis, dehydration, seizures","CI: Bowel perforation, gastric retention, GI obstruction, ileus, toxic megacolon"
Potassium Chloride,Klor-Con,"Electrolyte, Potassium","tablet ER, capsule ER, powder for solution, solution","Nausea, indigestion, flatulence","ECG changes with hypokalemia or hyperkalemia, esophagitis","CI: Hypersensitivity to potassium, acute renal failure, structural, pathologic, or pharmacologic causes that delay tablet passage through the GI tract, hyperkalemia, Addison disease, acute dehydration"
Potassium Iodide,"SSKI, Thyroshield",Antithyroid agent,tablet. Solution,"Stomach upset, N/V, diarrhea, stomach pain","Goiter, hypothyroidism, thyroid adenoma, immune hypersensitivity reaction",None
Pramipexole,"Mirapex, Mirapex ER","Antiparkinsonian, Dopamine Agonist","tablet, tablet ER","Asthenia, dream disorder, dyskinesia, extrapyramidal movements, nausea, somnolence","Blackouts, impulsive behavior, heart failure, melanoma",None
Prasugrel,Effient,Antiplatelet Agent,tablet,"hypertension, hyperlipidemia, backache, headache, epistaxis","Atrial fibrillation, colon cancer, major bleeding, TTP, angioedema","CI: Active bleeding, history of transient ischemic attack or stroke BW: Bleeding risk; not recommended in patients ≥75 y of age; CABG"
Pravastatin,Pravachol,HMG-CoA Reductase Inhibitor,tablet,"Headache, heartburn, increased liver enzymes, influenza-like symptoms, musculoskeletal pain, myalgia, nausea, rash, vomiting","Rhabdomyolysis, Tendon rupture",CI: Use in breastfeeding
Prednisolone oral,"Orapred, Prelone",Adrenal glucocorticosteroid,"tablet, solution, syrup, suspension","GI upset, hypertension, atrophic condition of skin, impaired skin healing, osteoporosis, depression, euphoria, pulmonary tuberculosis, hyperglycemia","Primary adrenocortical insufficiency, Cushing syndrome, decreased body growth, increased risk of infection","CI: administration of live vaccines, fungal infections"
Prednisone,Deltasone,Adrenal Corticosteroid,"tablet, tablet DR",GI Upset,"Primary adrenocortical insufficiency, Cushing syndrome, decreased body growth, increased risk of infection","CI: Hypersensitivity to prednisone or other glucocorticosteroids, administration of live vaccines, fungal infections"
Pregabalin,Lyrica,"Anticonvulsant, Analgesic","capsule, tablet ER, solution","Dizziness, somnolence, ataxia, headache, peripheral edema",Angioedema,None
Prenatal Vitamin,"PreCare, PreNexa",Vitamin Supplement,tablet,Nausea,None,CI: Hypersensitivity to any component of vitamin and mineral supplement BW: iron toxicity
Prochlorperazine,Compazine,Phenothiazine (Oncology/Neuro),"tablet, rectal",Somnolence,"Respiratory depression, hypotension, neuroleptic malignant syndrome, agranulocytosis, extrapyramidal symptoms (increased risk in children <5 y of age), seizures, QTc prolongation","CI: Hypersensitivity to phenothiazines, bone marrow depression, children <20lb or 2 yo of age, comatose or greatly depressed states, severe hypotension BW: Mortality in elderly with dementia"
Progesterone,Prometrium,Progestin Hormone,"capsule, vaginal Gel, vaginal Insert","Weight change, headache, amenorrhea, breast tenderness, abdominal pain","Thromboembolism (DVT, PE), thrombophlebitis, osteoporosis","CI: Abnormal vaginal bleeding, history of estrogen- or progesterone-dependent neoplasia, active or history of DVT or PE, known or suspected pregnancy (oral only) BW: Cardiovascular disorders, breast cancer, dementia risk, risk versus benefits"
Promethazine,Phenergan,"Antihistamine, Phenothiazine","tablet, solution, suppository","Somnolence, xerostomia","Respiratory depression, hypotension, neuroleptic malignant syndrome, agranulocytosis, extrapyramidal symptoms, seizures, photosensitivity","CI: Hypersensitivity to promethazine, asthma, use in children <2 y of age, comatose state BW: Children <2 y of age (fatal respiratory depression)"
Propranolol,"Inderal, Inderal LA, Inderal XL",Beta Adrenergic Blocker - Nonselective,"tablet, capsule ER, solution",Hypotension,"Heart failure, interstitial nephritis","CI: asthma; sinus bradycardia, AV block, sick sinus syndrome, cardiogenic shock BW: Avoid abrupt withdrawal"
Quetiapine,"Seroquel, Seroquel XR",Antipsychotic (Atypical),"tablet, tablet ER","Agitation, headache, hypertension, somnolence, weight gain, xerostomia","Neuroleptic malignant syndrome, neutropenia, pancreatitis, sudden cardiac death, syncope, tardive dyskinesia, slowed or difficult breathing when used in combination with opioids","BW: Mortality in elderly with dementia, suicidality, not approved for children <10 y of age"
Quinapril,Accupril,ACE Inhibitor,tablet,"Diarrhea, dizziness, dry cough, fatigue, headache, hypotension, hyperkalemia, nephrotoxicity, rash, tachycardia, vomiting","Angioedema, birth defects, liver failure","CI: Hypersensitivity to ramipril or other ACEIs, history of ACEI-induced angioedema; concurrent sacubitril BW: Pregnancy"
Rabeprazole,Aciphex,Proton Pump Inhibitor,"tablet DR, capsule sprinkle","Headache, rash","Stevens-Johnson syndrome, fracture of bone, rhabdomyolysis, acute interstitial nephritis, increased risk of infections",None
Raloxifene,Evista,Selective Estrogen Receptor Modulator,tablet,"Hot flashes, arthralgia, flu like symptoms","Edema, hypertriglyceridemia, venous thromboembolism, cerebrovascular accident, pulmonary embolism","CI: pregnancy or lactation, current or history of thromboembolitic disorders BW: Venous thromboembolism, stroke"
Raltegravir,Isentress,"Antiretroviral Agent, Integrase Inhibitor","tablet, chewable tablet, oral packet",Elevated LFT's,"Anemia, cerebellar ataxia, depression, hepatitis, hypersensitivity, myopathy, nephrolithiasis, psychomotor hyperactivity (children), renal failure, rhabdomyolysis, Stevens-Johnson syndrome, suicidal ideation/behavior, thrombocytopenia, toxic epidermal necrolysis",None
Ramipril,Altace,ACE inhibitor,capsule,"Diarrhea, dizziness, dry cough, headache, hypotension, hyperkalemia, nausea, nephrotoxicity, rash, tachycardia, vomiting","Angioedema, birth defects, liver failure","CI: Hypersensitivity to ramipril or other ACEIs, history of ACEI-induced angioedema; concurrent sacubitril BW: Pregnancy"
Ranitidine,Zantac,Histamine H2 Receptor Antagonist,,,,CI: k BW: k
Ranolazine,Ranexa,Anti-anginal,"tablet, ER","Dizziness, headache, bradycardia, hypotension, edema, constipation, nausea, xerostomia, blurred vision","Angioedema, pancytopenia, pulmonary fibrosis, arrhythmia, renal failure, syncope, QTc prolongation",None
Repaglinide,Prandin,"Meglitinide, Antidiabetic",tablet,"Hypoglycemia, headache","Angina, hypertension, arrhythmia, thrombocytopenia, hypersensitivity, hepatotoxicity, Stevens-Johnson syndrome","CI: Diabetic Ketoacidosis, Type 1 diabetes, concurrent gemfibrozil"
Rifaximin,Xifaxan,"Antibiotic, Misc.",tablet,"Edema, dizziness, ascites, nausea","Severe hypersensitivity, angioedema, urticaria",None
Risedronate,"Actonel, Atelvia",Bisphosphonate,"tablet, tablet DR","Rash, abdominal pain, constipation, diarrhea, nausea, indigestion, backache, UTI","Osteonecrosis of the jaw, hypersensitivity reaction","CI: esophageal abnormalities that delay esophageal emptying, hypocalcemia, inability to sit or stand upright for at least 30 min."
Risperidone,Risperdal,"Benzisoxazole, Antipsychotic","tablet, Oral Dispersible tablet, solution","Extrapyramidal symptoms, insomnia, anxiety, fatigue, metabolic changes (hyperglycemia, dyslipidemia, weight gain, DM)","Neuroleptic malignant syndrome, pancreatitis, stroke, pancytopenia, sudden cardiac death, syncope, tardive dyskinesia, priapism, slowed or difficult breathing when used in combination with opioids, seizure, suicidal ideation or behavior","CI: agents that increase QTc interval BW: Mortality in elderly with dementia, DRESS"
f,Xarelto,Factor Xa Inhibitor,tablet,Bleeding,"Syncope, major bleeding, epidural hematoma, anaphylaxis, intracranial bleeding","CI: Active bleeding BW: Premature discontinuation increases thrombotic risk, risk of spinal/epidural hematoma"
Rizatriptan,Maxalt,"Antimigraine, Serotonin Receptor Agonist","tablet, ODT","Nausea, asthenia, dizziness, somnolence","Angina, cardiac dysrhythmia, coronary arteriosclerosis, heart block, hypertension, acute myocardial infarction, aphasia, cerebral ischemia, stroke, dystonia, hemiplegia, neuropathy, transient ischemic attack, oculogyric crisis","CI: Cerebrovascular syndromes, hemiplegic or basilar migraine, ischemic bowel disease, ischemic heart disease, peripheral vascular disease, severe hepatic impairment, uncontrolled hypertension, MAOI, ergot alkaloids"
Ropinirole,"Requip, Requip XL","Antiparkinsonian, Dopamine Agonist","tablet, tablet ER24","Dizziness, dyskinesia, nausea, orthostatic hypotension, somnolence, vomiting, hallucinations","Sinus node dysfunction, neuroleptic malignancy syndrome, impulse control/compulsive behaviors",None
Rosiglitazone,Avandia,Thiazolidinedione Antidiabetic,tablet,"Edema, weight gain, increased cholesterol","Heart failure, MI, anemia, hepatotoxicity, diabetic macular edema, hypoglycemia when used in combination with insulin or sulfonylureas","CI: Hypersensitivity to rosiglitazone, heart failure, NYHA class I-IV, pregnancy BW: Heart failure, MI risk"
Rosuvastatin,Crestor,HMG-CoA Reductase Inhibitors,"tablet, capsule sprinkle",Arthralgia,"Rhabdomyolysis, tendon rupture","CI: Active liver disease, use in breastfeeding"
Rotavirus Vaccine,"Rotarix, RotaTeq","Vaccine, Live, Viral",powder suspension for oral solution,"Vomiting, irritability, fever, otitis-media, diarrhea","Intussusception, anaphylaxis, seizures","CI: severe combined immunodeficiency; uncorrected GI malformation (Rotarix only), history of intussusception"
Sacubitril/Valsartan,Entresto,Neprilysin Inhibitor/Angiotensin 2 Receptor Antagonist,tablet,"Hypotension, hyperkalemia, increased SCr",Rhabdomyolysis,"CI: History of angioedema, pregnancy, concomitant ACE inhibitors, aliskiren BW: Pregnancy"
Saxagliptin,Onglyza,"DPP-4 Inhibitor, Antidiabetic",tablet,Hypoglycemia,"Pancreatitis, hypersensitivity, acute renal failure, Stevens-Johnson syndrome, rhabdomyolysis",None
Sertraline,Zoloft,SSRI antidepressant,"tablet, oral concentration","Diarrhea, fatigue, headache, insomnia, nausea","Suicidal thoughts, Serotonin Syndrome","CI: concomitant use of pimozide, thioridazine, or MAOIs BW: Suicidality, not approved for depression in children; approved for OCD in children >6 y of age"
Sildenafil,"Viagra, Revatio","Erectile Dysfunction, Pulmonary Hypertension Agent, Phosphodiesterase Inhibitor","tablet, suspension","Flushing, nausea, headache, visual disturbances, lack of blue/green color discrimination","AMI, seizures, strokes, sudden hearing loss, priapism","CI: concurrent nitrates, concurrent HIV protease inhibitors when used for treating pulmonary hypertension, concurrent guanylate cyclase stimulators"
Simvastatin,Zocor,HMG-CoA Reductase Inhibitors,"tablet, suspension","Abdominal pain, constipation, diarrhea, headache, increased liver enzymes, myalgia, nausea, rash","Rhabdomyolysis, myopathy, hepatotoxicity, tendon rupture, elevated HgA1c, immune-mediated necrotizing myopathy","CI: active liver disease, use in breastfeeding"
Sitagliptin,Januvia,"DPP-4 Inhibitor, Antidiabetic",tablet,"Hypoglycemia, Headaches, nasopharyngitis, nausea, diarrhea","Pancreatitis, hypersensitivity, acute renal failure, Stevens-Johnson syndrome, rhabdomyolysis, severe arthralgias",None
Sofosbuvir,Sovaldi,Polymerase Inhibitor (Anti-HCV),tablet,"Fatigue, headache, insomnia, chills, pruritus, rash, nausea, anemia","Pancytopenia, depression, suicidality","CI: Because of ribavirin risk, do not use in pregnant women, or men whose female partners are pregnant BW: HBV infection"
Solifenacin,Vesicare,"Urinary Antispasmodic, Anticholinergic Agent",tablet,"Constipation, xerostomia, blurred vision","Angioedema, QTc prolongation, exfoliative dermatitis","CI: gastric retention, uncontrolled glaucoma, urinary retention BW: none"
Spironolactone,"Aldactone, CaroSpir","Potassium-Sparing Diuretic, Selective Aldosterone Blocker","tablet, suspension",None,"Cardiac arrhythmias, gastric hemorrhage","CI: anuria, acute renal insufficiency, hyperkalemia BW: tumorigenic in animals"
Sucralfate,Carafate,"GI agent, PUD & GERD","tablet, suspension",Constipation,"Bezoar formation, diarrhea, GI distress, hyperglycemia",None
Sumatriptan,Imitrex,"Antimigraine, Serotonin Receptor Agonist","tablet, nasal solution, transdermal patch, SQ, nasal powder","Nausea, asthenia, dizziness, somnolence","Angina, cardiac dysrhythmia, coronary arteriosclerosis, heart block, hypertension, AMI, aphasia, cerebral ischemia, stroke, dystonia, hemiplegia, neuropathy, transient ischemic attack, oculogyric crisis","CI: cerebrovascular syndromes, hemiplegic or basilar migraine, ischemic bowel disease, ischemic heart disease, peripheral vascular disease, severe hepatic impairment, uncontrolled hypertension, MAOIs, ergot alkaloids"
Tacrolimus,"Prograf, Astagraf XL, Envarsus XR",Calcineurin inhibitor,"capsule, capsule ER, tablet ER","Chest pain, hypertension, alopecia, diabetes, hyperglycemia, hyperkalemia, hypomagnesemia, hyperlipidemia, constipation, diarrhea, nausea, anemia, leukopenia, thrombocytopenia, infection, arthralgia, dizziness, headache, insomnia, neuropathy, myoclonus, seizure, nephrotoxicity, dyspnea, pleural effusions, pruritus, elevated LFTs","Cardiomegaly, arrhythmia, Stevens-Johnson syndrome, increased risk of cancer, pancreatitis, acute renal failure","CI: concurrent ziprasidone use BW: Risk of infection, risk of malignancies, increased mortality in female transplant patients with Astagraf XL, Astagraf XL not approved for liver transplant"
Tadalafil,"Cialis, Adcirca","Erectile Dysfunction, Pulmonary Hypertension Agent, Phosphodiesterase",tablet,"Flushing, nausea, myalgia, headache, Nasopharyngitis, angina, chest pain, hypotension","Stevens-Johnson syndrome, AMI, seizures, strokes, sudden hearing loss","CI: concurrent nitrates, concurrent guanylate cyclase stimulators"
Tamoxifen,Soltamox,"Estrogen Receptor Antagonist, Antineoplastic","tablet, solution","Flushing, hypertension, edema, hot flashes, vaginal discharge, Venous thrombosis, insomnia, thrombocytopenia, elevated liver function tests, fractures, osteoporosis, hyperlipidemia","Thrombosis, endometrial hyperplasia, uterine cancer, retinopathy","CI: Concurrent warfarin, DVT, PE is used for prevention BW: Uterine malignancies, stroke, PE"
Tamsulosin,Flomax,Alpha-1 adrenergic blocker,capsule,"Dizziness, headache, abnormal ejaculation, rhinitis","Retinal detachment, priapism",None
Telmisartan,Micardis,Angiotensin 2 Receptor Antagonist,tablet,"Dizziness, cough, diarrhea, drowsiness, headache, hyperkalemia, hypotension, nausea, nephrotoxicity, rash, tachycardia","Angioedema, rhabdomyolysis","CI: pregnancy, concurrent use with aliskiren in patients with DM BW: Pregnancy"
Temazepam,Restoril,Benzodiazepine C4,capsule,"Drowsiness, somnolence, impaired motor coordination, Hypotension, blurred vision, nausea, diarrhea, confusion, headache","Complex behavior, anaphylaxis, worsening of depression, angioedema, drug dependence","CI: narrow-angle glaucoma, pregnancy"
Terazosin,Hytrin,Alpha-1 adrenergic blocker,capsule,"Asthenia, dizziness",Hepatotoxicity,None
Terbinafine,Lamisil,Antifungal,tablet,"Diarrhea, headache","Cutaneous lupus erythematosus, erythema multiforme, Stevens-Johnson syndrome, agranulocytosis, neutropenia, pancytopenia, liver failure, systemic lupus erythematosus",CI: Chronic or active hepatic disease
Testosterone,"AndroGel, Androderm",Androgen C3,"Gel, solution, Trans. Cream, Gel, Gel transdermal pump, transdermal patch, Mucoadhesive Buccal App., Nasal gel","Benign prostatic hyperplasia, testicular atrophy, PSA increase","Cardiac arrest, cerebrovascular accident, hepatotoxicity, hallucinations, hostility and aggression","CI: Men with breast or prostate cancer; women who are pregnant, who may become pregnant, or who are breastfeeding BW: Secondary exposure"
Thyroid,Armour Thyroid,Thyroid Supplement,tablet,None,"Aggravation of preexisting cardiovascular disease, hyperthyroidism","CI: nontoxic diffuse goiter or nodular thyroid disease, thyrotoxicosis, AMI, treatment of obesity or weight loss, uncorrected adrenal insufficiency; may precipitate acute adrenal crisis BW: Ineffective and potentially toxic when used for weight loss"
Ticagrelor,Brilinta,Platelet aggregation Inhibitor,tablet,Dyspnea,"Angioedema, atrioventricular block, bradycardia, gout, hypersensitivity reaction, skin rash","CI: Hypersensitivity, active bleeding, history of intracranial bleeding BW: Bleeding risk; use in CABG surgery, avoid aspirin >100 mg daily"
Tiotropium,"Spiriva Handihaler, Spiriva Respimat",Anticholinergic Bronchodilator,"inhalation capsule, inhalation solution","Xerostomia, Upper Respiratory infection","Bowel obstruction, cerebrovascular accident, bronchospasm","CI: Hypersensitivity to tiotropium, ipratropium, or milk protein"
Tizanidine,Zanaflex,"Alpha-2 Adrenergic Agonist, Centrally Acting Skeletal Muscle Relaxant","capsule, tablet","Hypotension, xerostomia, asthenia, dizziness, somnolence, muscle weakness","AMI, thrombocytopenia, hepatitis, PE, hypersensitivity, death, slowed or difficult breathing when used in combination with opioids",CI: concurrent use with CYP1A2 inhibitors
Tolterodine,"Detrol, Detrol LA","Antimuscarinic, Overreactive Urinary Bladder","tablet, capsule ER",Xerostomia,"Tachycardia, QTc prolongation, angioedema, hallucinations",CI: fesoterodine; gastric retention; uncontrolled narrow-angle glaucoma; urinary retention
Tolvaptan,Samsca,Vasopressin Antagonist,tablet,"Increased thirst, nausea, xerostomia, polyuria, fatigue, diarrhea","Hypovolemia, hepatic failure, osmotic demyelination syndrome","CI: Anuria, concurrent use of strong CYP3A4/5 inhibitors, hypovolemic hyponatremia, hypersensitivity BW: Initiate treatment in hospital to monitor serum sodium. Too rapid correction (e.g., >12 mEq/24 h) can results in seizures, coma, and death; correct sodium gradually"
Topiramate,Topamax,Anticonvulsant,"capsule, capsule sprinkle, tablet, capsule ER24","Ataxia, loss of appetite, dizziness, impaired psychomotor performance, somnolence, fatigue, nystagmus, low serum bicarbonate","Erythema multiforme, Stevens-Johnson syndrome, hypohidrosis, increased body temperature, metabolic acidosis, liver failure, glaucoma, myopia, suicidal ideation, visual field defects",CI: alcohol use for the ER formulation (within 6 h prior to and 6 h after administration)
Torsemide,Demadex,Loop Diuretic,tablet,"Polyuria, ECG abnormality, GI distress, myalgia","Angioedema, thrombocytopenia, electrolyte abnormalities, anuria","CI: Hypersensitivity to torsemide or sulfonylureas, anuria, hepatic coma"
